Date,Time,Vehicle,Place,Reason,Position,Description,Datetime,Temperature (C),Humidity (%),Precipitation (mm),Wind Speed (km/h),Latitude,Longitude,ts,hour,dow,is_weekend,is_wet,lat_bin,lon_bin,segment_id,is_speed_reason,SPI_smoothed
2024.12.05,20:15:00,Van,Millagahamula 47/2 Culvert,Slipped,"6.990531, 80.459648",Turn over,2024-12-05 20:15:00,21.0,94,0.0,1.1,6.990531,80.459648,2024-12-05 20:15:00,20,3,0,0,6.991,80.46,6.991_80.46,0,0.35071806500377933
2024.12.10,11:50:00,Three Wheeler,"Hatton-colombo Rd, 45km",Excessive Speed,"6.990598, 80.490651",hit a barrier,2024-12-10 11:50:00,27.2,54,0.0,6.2,6.990598,80.490651,2024-12-10 11:50:00,11,1,0,0,6.991,80.491,6.991_80.491,1,0.39833711262282695
2024.12.15,13:25:00,Car,Ginigathena Hospital Rd,Slipped,"6.9924, 80.4886",lost control on curve,2024-12-15 13:25:00,28.2,48,0.0,12.4,6.9924,80.4886,2024-12-15 13:25:00,13,6,1,0,6.992,80.489,6.992_80.489,0,0.35071806500377933
2024.12.20,16:40:00,Bus,Diyagala 57/8 Culvert,Excessive Speed,"6.978656, 80.503532",hit a parked vehicle,2024-12-20 16:40:00,22.6,92,0.5,3.6,6.978656,80.503532,2024-12-20 16:40:00,16,4,0,1,6.979,80.504,6.979_80.504,1,0.39833711262282695
2024.12.25,22:00:00,Lorry,Rampadeniya 51/12 Culvert,Slipped,"6.996108, 80.480100",plunged into ditch,2024-12-25 22:00:00,16.4,92,0.0,3.0,6.996108,80.4801,2024-12-25 22:00:00,22,2,0,0,6.996,80.48,6.996_80.48,0,0.35071806500377933
2025.01.02,07:15:00,Motor Cycle,Badupola 50km Marker,Excessive Speed,"6.9985, 80.4758",collision with three-wheeler,2025-01-02 07:15:00,21.2,99,0.3,2.5,6.9985,80.4758,2025-01-02 07:15:00,7,3,0,1,6.998,80.476,6.998_80.476,1,0.39833711262282695
2025.01.08,12:30:00,Three Wheeler,Ambagamuwa Samurdi Bank,Slipped,"7.010875, 80.490356",Turn over,2025-01-08 12:30:00,27.2,60,0.0,6.1,7.010875,80.490356,2025-01-08 12:30:00,12,2,0,0,7.011,80.49,7.011_80.49,0,0.35071806500377933
2025.01.12,18:20:00,Van,Kadawala 55/14 Culvert,Excessive Speed,"6.976910, 80.503612",hit a cyclist,2025-01-12 18:20:00,21.1,97,0.1,0.5,6.97691,80.503612,2025-01-12 18:20:00,18,6,1,0,6.977,80.504,6.977_80.504,1,0.39833711262282695
2025.01.18,09:45:00,Car,Ginigathena Police Station,Slipped,"6.9890, 80.4941",skidded on oil spill,2025-01-18 09:45:00,25.8,70,0.0,4.0,6.989,80.4941,2025-01-18 09:45:00,9,5,1,0,6.989,80.494,6.989_80.494,0,0.35071806500377933
2025.01.22,14:10:00,Bus,Millagahamula 46/9 Culvert,Excessive Speed,"6.991424, 80.460627",out of control,2025-01-22 14:10:00,22.8,95,0.2,2.3,6.991424,80.460627,2025-01-22 14:10:00,14,2,0,1,6.991,80.461,6.991_80.461,1,0.39833711262282695
2025.01.28,10:30:00,Lorry,Pitawala Junction,Mechanical Error,"6.9942, 80.4497",engine failure,2025-01-28 10:30:00,24.6,67,0.0,4.7,6.9942,80.4497,2025-01-28 10:30:00,10,1,0,0,6.994,80.45,6.994_80.45,0,0.3347763347763348
2025.02.03,16:50:00,Three Wheeler,Ambagamuwa Temple Rd,Slipped,"7.0190, 80.4938",hit a pole,2025-02-03 16:50:00,25.9,63,0.0,6.8,7.019,80.4938,2025-02-03 16:50:00,16,0,0,0,7.019,80.494,7.019_80.494,0,0.35071806500377933
2025.02.08,21:15:00,Motor Cycle,Ginigathena Bus Stand,Excessive Speed,"6.9954, 80.4918",collision with pedestrian,2025-02-08 21:15:00,16.3,94,0.0,7.3,6.9954,80.4918,2025-02-08 21:15:00,21,5,1,0,6.995,80.492,6.995_80.492,1,0.39833711262282695
2025.02.14,08:40:00,Van,Kadawala School,Slipped,"6.9775, 80.5040",Turn over,2025-02-14 08:40:00,21.9,68,0.0,1.0,6.9775,80.504,2025-02-14 08:40:00,8,4,0,0,6.978,80.504,6.978_80.504,0,0.35071806500377933
2025.02.20,13:55:00,Car,Diyagala 56/4 Culvert,Excessive Speed,"6.977309, 80.503780",hit a tree,2025-02-20 13:55:00,29.3,47,0.0,6.9,6.977309,80.50378,2025-02-20 13:55:00,13,3,0,0,6.977,80.504,6.977_80.504,1,0.39833711262282695
2025.02.26,17:20:00,Bus,Millagahamula 48/6 Culvert,Slipped,"6.990705, 80.462151",skidded on gravel,2025-02-26 17:20:00,24.3,81,0.2,5.1,6.990705,80.462151,2025-02-26 17:20:00,17,2,0,1,6.991,80.462,6.991_80.462,0,0.35071806500377933
2025.03.04,10:45:00,Lorry,Ambagamuwa 9/9 Culvert,Mechanical Error,"7.019383, 80.497491",brake failure,2025-03-04 10:45:00,28.3,55,0.0,6.2,7.019383,80.497491,2025-03-04 10:45:00,10,1,0,0,7.019,80.497,7.019_80.497,0,0.35071806500377933
2025.03.10,19:30:00,Three Wheeler,Ginigathena Market,Excessive Speed,"6.9889, 80.4921",hit a cart,2025-03-10 19:30:00,22.6,97,0.0,0.5,6.9889,80.4921,2025-03-10 19:30:00,19,0,0,0,6.989,80.492,6.989_80.492,1,0.39833711262282695
2025.03.16,07:50:00,Motor Cycle,Badupola 50km Marker,Slipped,"6.9985, 80.4758",fell on wet road,2025-03-16 07:50:00,21.6,94,0.0,2.1,6.9985,80.4758,2025-03-16 07:50:00,7,6,1,0,6.998,80.476,6.998_80.476,0,0.35071806500377933
2025.03.22,12:15:00,Van,Kadawala 55/15 Culvert,Excessive Speed,"6.977464, 80.503956",collision with bike,2025-03-22 12:15:00,27.4,69,0.1,3.8,6.977464,80.503956,2025-03-22 12:15:00,12,5,1,0,6.977,80.504,6.977_80.504,1,0.39833711262282695
2025.03.28,15:40:00,Car,Ginigathena Hospital,Slipped,"6.9924, 80.4886",lost control,2025-03-28 15:40:00,28.3,51,0.0,4.6,6.9924,80.4886,2025-03-28 15:40:00,15,4,0,0,6.992,80.489,6.992_80.489,0,0.35071806500377933
